1940,75.03
1941,77.43
1942,75.76
1943,75.91
1944,75.61
1945,72.45
1946,71.57
1947,73.82
1948,73.44
1949,75.12
1950,71.58
1951,73.02
1952,76.99
1953,75.92
1954,70.31
1955,77.44
1956,71.76
1957,74.77
1958,74.39
1959,77.47
1960,74.27
1961,73.67
1962,72.28
1963,72.68
1964,72.44
1965,70.05
1966,74.30
1967,71.48
1968,74.93
1969,76.69
1970,74.33
1971,71.96
1972,73.10
1973,75.31
1974,74.81
1975,73.32
1976,73.27
1977,74.28
1978,75.08
1979,72.87
1980,77.16
1981,74.56
1982,73.42
1983,78.60
1984,80.19
1985,76.53
1986,77.90
1987,79.84
1988,82.79
1989,77.45
1990,76.89
1991,79.74
1992,73.11
1993,78.73
1994,75.71
1995,80.02
1996,78.08
1997,74.71
1998,79.84
1999,78.40
2000,75.58
2001,80.21
2002,73.06
2003,67.55
2004,66.21
2005,70.98
2006,71.30
2007,69.89
2008,66.21
2009,63.54
2010,69.27
2011,68.69
2012,67.80
2013,65.17
2014,64.11
2015,65.54
