1940,23.70
1941,26.50
1942,25.14
1943,25.33
1944,29.26
1945,22.70
1946,26.60
1947,25.05
1948,21.37
1949,30.30
1950,28.70
1951,27.50
1952,29.63
1953,30.84
1954,28.66
1955,26.09
1956,25.94
1957,25.36
1958,25.15
1959,23.50
1960,27.76
1961,27.61
1962,22.85
1963,17.64
1964,28.59
1965,24.11
1966,24.40
1967,25.59
1968,24.62
1969,26.96
1970,22.64
1971,24.24
1972,24.59
1973,27.86
1974,26.13
1975,28.05
1976,25.18
1977,18.33
1978,19.24
1979,16.83
1980,23.17
1981,23.56
1982,17.70
1983,30.42
1984,27.83
1985,23.71
1986,26.64
1987,29.95
1988,24.78
1989,29.66
1990,33.64
1991,29.64
1992,30.28
1993,27.68
1994,20.98
1995,26.97
1996,26.08
1997,27.05
1998,35.02
1999,28.73
2000,30.07
2001,28.92
2002,34.07
2003,19.44
2004,20.26
2005,23.86
2006,30.38
2007,23.00
2008,23.91
2009,18.81
2010,22.58
2011,19.89
2012,27.61
2013,22.95
2014,12.79
2015,14.06
